A,Name on ballot,"Candidate

Sequence",Unnamed: 3,"   Type
      Nominat-
            ion","Electoral
district",Unnamed: 6,Sex,Candidate's full name,Voter number
257 ,State of Law Coalition,30 ,,Alliance,Baghdad,,Male,Haider Karim Hamdan Hassan Al-Gharawi,3885
257 ,State of Law Coalition,31 ,,Alliance,Baghdad,,Male,Haider Nazim Katta' Rasn Al-Saedi,3886
257 ,State of Law Coalition,32 ,,Alliance,Baghdad,,"   female
 ","Saad Dawood Rashid Al-Khalwa was in a
state of turmoil",3887
257 ,State of Law Coalition,33 ,,Alliance,Baghdad,,Male,"Abdullah's Messenger, Ali Al-Zubaidi, plows",3888
257 ,State of Law Coalition,34 ,,Alliance,Baghdad,,Male,Ali Attia Rakhma Saeed,3889
257 ,State of Law Coalition,35 ,,Alliance,Baghdad,,Male,"Ayad Kazim Eidhan Abdul-
Bulani",3890
257 ,State of Law Coalition,36 ,,Alliance,Baghdad,,"   female
 ",بشرى مراد جويعد ناهض الجناجي,3891
257 ,State of Law Coalition,37 ,,Alliance,Baghdad,,Male,Mu'ayyad Khalil Ibrahim Dab'oun al-Dabkhawi,3892
257 ,State of Law Coalition,38 ,,Alliance,Baghdad,,Male,Nasir Kazim Ahmed Kazim Al-Moussawi,3893
257 ,State of Law Coalition,39 ,,Alliance,Baghdad,,Male,"As a thunderous Zamel Samir
Al-Mouzani",3894
257 ,State of Law Coalition,40 ,,Alliance,Baghdad,,"   female
 ","Secretly, Maan Zaid Ibrahim Al-Saadi",3895
257 ,State of Law Coalition,41 ,,Alliance,Baghdad,,Male,Najeeb Mustafa Mahdi Ali Al-Salji,3896
257 ,State of Law Coalition,42 ,,Alliance,Baghdad,,"   female
 ","In his name, Louay Hassoun Muayyar N Al-
Saedi",3897
257 ,State of Law Coalition,43 ,,Alliance,Baghdad,,Male,"Abdul Ghathan Y Qasim Muhammad Mahdi
Al-Khasaki",3898
257 ,State of Law Coalition,44 ,,Alliance,Baghdad,,"   female
 ",Iqbal Abdul Haseer N Abu Jari Madhi Madhi,3899
257 ,State of Law Coalition,45 ,,Alliance,Baghdad,,Male,Faisal Ghazi Hashim Obaid Al-Sulaili,3900
