A,Name on ballot,"Candidate

Sequence",Unnamed: 3,"   Type
      Nominat-
            ion","Electoral
district",Unnamed: 6,Sex,Candidate's full name,Voter number
277 ,"Our falc-
      ons",24 ,,Alliance,Saladin,,Male,"Saleh Zubar Hassan Haseer N Al-
Jabouri",5827
279 ,United Saladin Alliance,1 ,,Alliance,Saladin,,Male,"Mahdi Tafar Y Ismail Jabbar Al-
Bayanari",5828
279 ,United Saladin Alliance,2 ,,Alliance,Saladin,,Male,Ammar Hekmat Abdul Hassan Hasir N. Al-Baldawy,5829
279 ,United Saladin Alliance,3 ,,Alliance,Saladin,,Male,Nazim Mohammad Ghazi Ashour Al-Khazraji,5830
279 ,United Saladin Alliance,4 ,,Alliance,Saladin,,"   female
 ",Manar Abdul Muttalib Hashim Saad Al-Shadidi,5831
279 ,United Saladin Alliance,5 ,,Alliance,Saladin,,"   female
 ",The temptation of Mahmoud Khalaf Mohammed Al-Jabouri,5832
279 ,United Saladin Alliance,6 ,,Alliance,Saladin,,Male,"Ahmed Asaad Zain Al-Abidin Samir N
Jaber",5833
279 ,United Saladin Alliance,7 ,,Alliance,Saladin,,Male,AtefAli Samir N Hassan Najjar,5834
279 ,United Saladin Alliance,8 ,,Alliance,Saladin,,"   female
 ","Efficient, happy, and sad, Ali Al-Badrawi",5835
279 ,United Saladin Alliance,9 ,,Alliance,Saladin,,"   female
 ",Hadeel Hamad Juma Nakheelan Al-Jabouri,5836
279 ,United Saladin Alliance,10 ,,Alliance,Saladin,,Male,Harith Hashim Muhammad Ismail Al-Asi,5837
279 ,United Saladin Alliance,11 ,,Alliance,Saladin,,Male,Hamad Ramadan Abbas Huwaija Al-Jumaili,5838
279 ,United Saladin Alliance,12 ,,Alliance,Saladin,,"   female
 ",Amir H. Abdul-Amir Kadhim Abbas Al-Janah,5839
279 ,United Saladin Alliance,13 ,,Alliance,Saladin,,Male,Ibrahim Mahna Hamid Abdul Azawi,5840
279 ,United Saladin Alliance,14 ,,Alliance,Saladin,,Male,Karim Musharraf Obaid Taama Al-Jabouri,5841
279 ,United Saladin Alliance,15 ,,Alliance,Saladin,,Male,Wassam Abdullah Khalaf Hamad Al-Jubouri,5842
279 ,United Saladin Alliance,16 ,,Alliance,Saladin,,"   female
 ",Nahrain Faisal Adnan Ali Al-Tamimi,5843
279 ,United Saladin Alliance,17 ,,Alliance,Saladin,,Male,Mohsen Hassan Saleh Ayth Al-Qaisi,5844
279 ,United Saladin Alliance,18 ,,Alliance,Saladin,,Male,"Hassan Abdul Abdullah Hasiran Al-
Jubouri",5845
279 ,United Saladin Alliance,19 ,,Alliance,Saladin,,Male,Atiya Hamad Hasir N        Ali Al-Jabouri,5846
279 ,United Saladin Alliance,20 ,,Alliance,Saladin,,"   female
 ","Magic cream complete on the chemis-
try",5847
279 ,United Saladin Alliance,21 ,,Alliance,Saladin,,Male,Kamal Abbas Fadel Jassim Al-Janani,5848
279 ,United Saladin Alliance,22 ,,Alliance,Saladin,,Male,Al-Nashmiyy Khaled Saleh Hamid Al-Lahithi,5849
279 ,United Saladin Alliance,23 ,,Alliance,Saladin,,"   female
 ",بشرى عبدالحسيرن علىي عباس البيانري,5850
279 ,United Saladin Alliance,24 ,,Alliance,Saladin,,"   female
 ",Saadia Mohsen Sultan Haseer N Al-Abidi,5851
202 ,Sadiqun Movement,1 ,,Party,Karbala,,Male,Anwar Mu'ayyad Wadi Sayhud Pharaoh,5852
202 ,Sadiqun Movement,2 ,,Party,Karbala,,Male,Ahmed Latif Talib Rabid Al-Jubouri,5853
202 ,Sadiqun Movement,3 ,,Party,Karbala,,Male,"Naeem Dahi, thirsty, Gyalbu-
lani",5854
202 ,Sadiqun Movement,4 ,,Party,Karbala,,"female
 ",Mays Ali Hadi Mus Al-Hamoudi,5855
