A,Name on ballot,"Candidate

Sequence",Unnamed: 3,"   Type
      Nominat-
            ion","Electoral
district",Unnamed: 6,Sex,Candidate's full name,Voter number
224 ,"Good news, Iraq",115 ,,Alliance,Baghdad,,Male,Haider Majeed Jassim Halil Al-Saadi,3001
224 ,"Good news, Iraq",116 ,,Alliance,Baghdad,,Male,Talib Mohsen RaheefHazam Al-Hatami,3002
224 ,"Good news, Iraq",117 ,,Alliance,Baghdad,,Male,Tahir Qanbal Adhirkhutaib Al-Muhammadawi,3003
224 ,"Good news, Iraq",118 ,,Alliance,Baghdad,,Male,Ahmed Shaheed Marhoun Abbas Al-Karawi,3004
224 ,"Good news, Iraq",119 ,,Alliance,Baghdad,,Male,Sarmed Falah Hassan Abdul Rasoul Kamal Al-Din,3005
224 ,"Good news, Iraq",120 ,,Alliance,Baghdad,,"   female
 ",Wahida Faraj Hammadi Zidane Al-Amri,3006
224 ,"Good news, Iraq",121 ,,Alliance,Baghdad,,"   female
 ","Magic Khazal Abdul Redha Abbas Al-
Shar Yifn Y",3007
224 ,"Good news, Iraq",122 ,,Alliance,Baghdad,,Male,Adnan Muslim Zghair Hassan Al-Tabatani,3008
224 ,"Good news, Iraq",123 ,,Alliance,Baghdad,,Male,"Ali Ahmed Ali Hasir N        Al-
Bayanri",3009
224 ,"Good news, Iraq",124 ,,Alliance,Baghdad,,Male,"Haider Abdul Latif Abdul Rahim Badan Al-
Lami",3010
224 ,"Good news, Iraq",125 ,,Alliance,Baghdad,,"   female
 ","Wafaa Khalil Muhammad Amir N Murad
Al-Badhi",3011
224 ,"Good news, Iraq",126 ,,Alliance,Baghdad,,Male,Mohammed Obaidi Kazim Abdul Badri,3012
224 ,"Good news, Iraq",127 ,,Alliance,Baghdad,,Male,"Abdul Zahra Naeem Kazim Wadi Al-
Rukani",3013
224 ,"Good news, Iraq",128 ,,Alliance,Baghdad,,"   female
 ",AngelNaeem Nashor Maaraj Al-Akili,3014
224 ,"Good news, Iraq",129 ,,Alliance,Baghdad,,"   female
 ","Amanni Mahdi Hamid Musa
al-Sharbawi",3015
224 ,"Good news, Iraq",130 ,,Alliance,Baghdad,,Male,"Bashar Salim Yas Abbas Al-Karjan
Y",3016
224 ,"Good news, Iraq",131 ,,Alliance,Baghdad,,Male,Diaa Fakhernkal Mahawi Al-Azirjawi,3017
224 ,"Good news, Iraq",132 ,,Alliance,Baghdad,,Male,Ali MuayoufLafta Al-Bakhit Al-Jabouri,3018
224 ,"Good news, Iraq",133 ,,Alliance,Baghdad,,"   female
 ",Shahla Taha Jawad Kadhim Al-Jabouri,3019
224 ,"Good news, Iraq",134 ,,Alliance,Baghdad,,Male,"Khaled Samir Saeed Khalaf
Al-Balani",3020
224 ,"Good news, Iraq",135 ,,Alliance,Baghdad,,Male,Abbas Abdullah Zarzur Rahima Al-Saedi,3021
224 ,"Good news, Iraq",136 ,,Alliance,Baghdad,,Male,"Karim Awda Mohammed Kh-
uraibat Al-Sudani",3022
224 ,"Good news, Iraq",137 ,,Alliance,Baghdad,,"   female
 ",Suhair Ali Yazm Khadir Al-Khafaji,3023
224 ,"Good news, Iraq",138 ,,Alliance,Baghdad,,Male,Qasim Salman Mohsen Haseer N Al-Aboudi,3024
224 ,"Good news, Iraq",139 ,,Alliance,Baghdad,,Male,"Ali Hassan Shia Saeed Al-
Kanani",3025
227 ,"Educational teacher Amal Hassan Rahim Al-
Aqani",1 ,,"  Pe-
rson",Baghdad,,"   female
 ",Amal Hassan Rahim Dharib Al-Aqani,3026
231 ,National State Forces Alliance,1 ,,Alliance,Baghdad,,Male,"Ammar Muskadhim Hasir N        Al-
Asadi",3027
231 ,National State Forces Alliance,2 ,,Alliance,Baghdad,,Male,Ahmed Salem Aziz Hamad Al-Saedi,3028
231 ,National State Forces Alliance,3 ,,Alliance,Baghdad,,Male,Thaer Abdel Jalil regarding the quality of Al-Shuwaili,3029
231 ,National State Forces Alliance,4 ,,Alliance,Baghdad,,Male,Ali Jassim Mohammed Khalifa Al-Hamidawi,3030
231 ,National State Forces Alliance,5 ,,Alliance,Baghdad,,"   female
 ",The harmony of Abdulzahra Jawad Ali Al-Gharah,3031
231 ,National State Forces Alliance,6 ,,Alliance,Baghdad,,"   female
 ",علا حسيرن حاتم يحرث التميمیي,3032
231 ,National State Forces Alliance,7 ,,Alliance,Baghdad,,Male,"Naeem Karim Abdul Hamad Al-
Shuwaili",3033
231 ,National State Forces Alliance,8 ,,Alliance,Baghdad,,Male,Ali Hatem JikhalafAl-Maksousi,3034
231 ,National State Forces Alliance,9 ,,Alliance,Baghdad,,"   female
 ",Ahlam Salem Thajil Ali Al-Mu'tak,3035
231 ,National State Forces Alliance,10 ,,Alliance,Baghdad,,Male,علاوي نعمه موله طارش البنداوي,3036
231 ,National State Forces Alliance,11 ,,Alliance,Baghdad,,Male,Nafie Abdul Karji Hassan Al-Aqani,3037
231 ,National State Forces Alliance,12 ,,Alliance,Baghdad,,Male,Ibrahim Adel Ibrahim Fahd Al-Muhammadawi,3038
231 ,National State Forces Alliance,13 ,,Alliance,Baghdad,,Male,"Hisham Finjan, the effort of Awisi Al-Daraji",3039
231 ,National State Forces Alliance,14 ,,Alliance,Baghdad,,Male,Kazem Zagheernghamish Khanjar Fartosi,3040
231 ,National State Forces Alliance,15 ,,Alliance,Baghdad,,Male,Diaa Ayed Jawad Kazem Al-Jalani,3041
231 ,National State Forces Alliance,16 ,,Alliance,Baghdad,,Male,Shaker Jafarassim Mohsen Al-Moussawi,3042
231 ,National State Forces Alliance,17 ,,Alliance,Baghdad,,"   female
 ",Ayat Muzaffarnouri Fatji Al-Baroudi,3043
231 ,National State Forces Alliance,18 ,,Alliance,Baghdad,,Male,Nasser Hashem Tha'lab Shabib Al-Saadi,3044
231 ,National State Forces Alliance,19 ,,Alliance,Baghdad,,Male,"Wasam Muhammad Hasir N       Jaafar
Al Attia",3045
231 ,National State Forces Alliance,20 ,,Alliance,Baghdad,,Male,Kamil Salem Faris Mazban Al-Saedi,3046
231 ,National State Forces Alliance,21 ,,Alliance,Baghdad,,Male,Qais Ismail Jabbar Hamoud Jalani,3047
231 ,National State Forces Alliance,22 ,,Alliance,Baghdad,,Male,"Hasirn Talib Aboud Marouh Al-
Fadhli",3048
231 ,National State Forces Alliance,23 ,,Alliance,Baghdad,,Male,Firas Ali Shaker Ajil Al-Moussawi,3049
231 ,National State Forces Alliance,24 ,,Alliance,Baghdad,,Male,Ali Muhammad Maji Jalal al-Tamimi,3050
231 ,National State Forces Alliance,25 ,,Alliance,Baghdad,,Male,Ahmed Shaker Mahmoud Hassir Al-Mansouri,3051
231 ,National State Forces Alliance,26 ,,Alliance,Baghdad,,Male,AliNajm Abd Daham Al-Jalani,3052
231 ,National State Forces Alliance,27 ,,Alliance,Baghdad,,Male,Laith Adel Redha Hassan Al-Khafaji,3053
231 ,National State Forces Alliance,28 ,,Alliance,Baghdad,,Male,Farid Mujbil Hasirn Sajn Y Al-Harishawi,3054
231 ,National State Forces Alliance,29 ,,Alliance,Baghdad,,Male,عمار عدنان وهيب سبع عميري,3055
231 ,National State Forces Alliance,30 ,,Alliance,Baghdad,,Male,Qasim Mohammed Jassim Mohammed Al-Omair Y,3056
231 ,National State Forces Alliance,31 ,,Alliance,Baghdad,,Male,Sajjad Hassan KhalafJassim Al-Juwai,3057
231 ,National State Forces Alliance,32 ,,Alliance,Baghdad,,"   female
 ","Maysaa Mahdi Hassan Ahmed Al-
Aidani",3058
231 ,National State Forces Alliance,33 ,,Alliance,Baghdad,,Male,"Hassan Dasr Misr Salomi Al-
Rabi'",3059
231 ,National State Forces Alliance,34 ,,Alliance,Baghdad,,Male,Muhammad Yunus Ali Hassan Al-Maamouri,3060
